N;id_acc;nombre_acc;precio_acc;stock_acc;descripcion_acc;id_pl;nombre_pl;precio_pl;descripcion_pl;id_eq;;nombre_eq;precio_eq;stock_eq;descripcion_eq;grarantia;link_eq;id_of;nombre_of;descuento_of;descripcion_of;nombre_pr;precio_pr;stock_pr;descripcion_pr
243;15;Choice Earbuds;99;74;Honor, Choice Earbuds;9;Max ilimitado D;289,9;285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa);43;Xiaomi Redmi 9A 32GB Gris;Xiaomi Redmi 9A 32GB Gris +  Choice Earbuds;611;6;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas;18;/resources/images/43.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;Xiaomi Redmi 9A 32GB Gris +  Choice Earbuds + Max ilimitado D +  50% Cyber wow;340,5;6;CELULAR: Pantalla HD + 6.53'', cámara frontal 5MP principal 13MP, procesador MediaTEk G25 8 núcleos, memoria RAM 2GB, batería 5000 mAh. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas PLAN: 285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa) OFERTA:  Oferta de temporada -50%
244;16;Audifonos DIME TW Bronce;99;95;SkullCandy, Audifonos DIME TW Bronce;10;Max ilimitado E;189,9;270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);44;ZTE Blade V30 Vita 128GB Negro;ZTE Blade V30 Vita 128GB Negro +  Audifonos DIME TW Bronce;631;26;CELULAR: Batería 5000mAh, pantalla 6.82'', procesador Octa-Core, memoria RAM 3GB, almacenamiento 128GB, cámara principal 48MP. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas;12;/resources/images/44.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;ZTE Blade V30 Vita 128GB Negro +  Audifonos DIME TW Bronce + Max ilimitado E +  3% Descuento Promo;666,3;26;CELULAR: Batería 5000mAh, pantalla 6.82'', procesador Octa-Core, memoria RAM 3GB, almacenamiento 128GB, cámara principal 48MP. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas PLAN: 270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -3%
245;17;Audifonos DIME TW Rojo;99;69;SkullCandy, Audifonos DIME TW Rojo;11;Max ilimitado F;159,9;240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);45;Samsung Galaxy A04 64GB Negro;Samsung Galaxy A04 64GB Negro +  Audifonos DIME TW Rojo;711;22;CELULAR: Pantalla HD+ 6.5'', batería 5000mAh, cámara principal 50MP, almacenamiento interno 32GB, procesador Octa core - MediaTek MT 6765. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas;12;/resources/images/45.png;3;4% Descuento Promo;0,04;Oferta por producto -4%;Samsung Galaxy A04 64GB Negro +  Audifonos DIME TW Rojo + Max ilimitado F +  4% Descuento Promo;730,1;22;CELULAR: Pantalla HD+ 6.5'', batería 5000mAh, cámara principal 50MP, almacenamiento interno 32GB, procesador Octa core - MediaTek MT 6765. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas PLAN: 240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -4%
246;18;Audífonos Buds 3 lite;119;139;Xiaomi, Audífonos Buds 3 lite;12;Max play B;115;150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS;46;Huawei Nova 9 SE Azul 128GB;Huawei Nova 9 SE Azul 128GB +  Audífonos Buds 3 lite;1311;25;CELULAR: Pantalla alta resolución FHD+ 6.78'', cámara frontal 16MP principal 108MP, batería 4000mAh. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas;12;/resources/images/46.png;4;5% Descuento Promo;0,05;Oferta por producto -5%;Huawei Nova 9 SE Azul 128GB +  Audífonos Buds 3 lite + Max play B +  5% Descuento Promo;1283,4;25;CELULAR: Pantalla alta resolución FHD+ 6.78'', cámara frontal 16MP principal 108MP, batería 4000mAh. ACCESORIO: BlackSheep, bluetooth 5.1, duración 9 horas PLAN: 150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS OFERTA:  Oferta por producto -5%
247;19;Audífonos Push True Wireless Earbuds Azul;189;135;SkullCandy, Bluetooth 4.2, tecnología IPX4;13;Max ilimitado G;109,9;210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);47;Xiaomi 12 256GB Azul 5G + B-Bund S3;Xiaomi 12 256GB Azul 5G + B-Bund S3 +  Audífonos Push True Wireless Earbuds Azul;3969;12;CELULAR: Memoria RAM 8GB y 256GB almacenamiento, procesador de Snapdragon 8 Gen 1, batería 4500mAh, cámara frontal 32MP, Bluetooth 5.2. ACCESORIO: Honor, Choice Earbuds;12;/resources/images/47.png;5;15% Descuento Promo;0,15;Oferta por producto -15%;Xiaomi 12 256GB Azul 5G + B-Bund S3 +  Audífonos Push True Wireless Earbuds Azul + Max ilimitado G +  15% Descuento Promo;3399,1;12;CELULAR: Memoria RAM 8GB y 256GB almacenamiento, procesador de Snapdragon 8 Gen 1, batería 4500mAh, cámara frontal 32MP, Bluetooth 5.2. ACCESORIO: Honor, Choice Earbuds PLAN: 210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -15%
248;20;Samsung Galaxy Buds Plus;379;89;Samsung Galaxy Buds Plus;1;Max ilimitado A;95,9;195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);48;Samsung Galaxy S20 FE 5G Azul;Samsung Galaxy S20 FE 5G Azul +  Samsung Galaxy Buds Plus;2489;19;CELULAR: Pantalla 6.5'' FULL HD+, batería 4500mAh, cámara triple sensor, 128 GB UFS 3.1 de almacenamiento interno. ACCESORIO: Honor, Choice Earbuds;12;/resources/images/48.png;6;45% Cyber wow;0,45;Oferta de temporada -45%;Samsung Galaxy S20 FE 5G Azul +  Samsung Galaxy Buds Plus + Max ilimitado A +  45% Cyber wow;1528,4;19;CELULAR: Pantalla 6.5'' FULL HD+, batería 4500mAh, cámara triple sensor, 128 GB UFS 3.1 de almacenamiento interno. ACCESORIO: Honor, Choice Earbuds PLAN: 195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta de temporada -45%
249;21;Galaxy Buds Live Negro;459;12;Samsung, Galaxy Buds Live Negro;2;Max play A;95;82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS;49;Xiaomi Redmi 10A 32GB Plata;Xiaomi Redmi 10A 32GB Plata +  Galaxy Buds Live Negro;659;16;CELULAR: Cámara principal 13MP, batería 5000 mAh, memoria RAM 2GB, memoria interna 32GB, pantalla LCD 6,53'', procesador G25 octa-core de 2GHz. ACCESORIO: Honor, Choice Earbuds;18;/resources/images/49.png;7;20% Descuento Promo;0,2;Oferta por producto -20%;Xiaomi Redmi 10A 32GB Plata +  Galaxy Buds Live Negro + Max play A +  20% Descuento Promo;679,1;16;CELULAR: Cámara principal 13MP, batería 5000 mAh, memoria RAM 2GB, memoria interna 32GB, pantalla LCD 6,53'', procesador G25 octa-core de 2GHz. ACCESORIO: Honor, Choice Earbuds PLAN: 82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS OFERTA:  Oferta por producto -20%
250;22;Apple Airpods Pro Case Wireless Blanco;1049;25;Apple Airpods Pro Case Wireless Blanco;3;Max ilimitado B;79,9;157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);50;Xiaomi Redmi 10C 64GB Gris;Xiaomi Redmi 10C 64GB Gris +  Apple Airpods Pro Case Wireless Blanco;909;12;CELULAR: Cámara de 50MP, batería 5000 mAh, memoria RAM 4GB, pantalla LCD 6,71'', bluetooth 5.0. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce;18;/resources/images/50.png;8;30% Cyber wow;0,3;Oferta de temporada -30%;Xiaomi Redmi 10C 64GB Gris +  Apple Airpods Pro Case Wireless Blanco + Max ilimitado B +  30% Cyber wow;748,2;12;CELULAR: Cámara de 50MP, batería 5000 mAh, memoria RAM 4GB, pantalla LCD 6,71'', bluetooth 5.0. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce PLAN: 157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -30%
251;null;null;null;null;null;4;Max ilimitado C;69,9;142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);51;Motorola Moto G82 128GB Negro 5G;Motorola Moto G82 128GB Negro 5G;1879;5;CELULAR: Pantalla FHD+ 6.55'', cámara principal 50MP frontal 16MP, RAM 6GB, memoria interna 128GB. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce;12;/resources/images/51.png;9;40% Cyber wow;0,4;Oferta de temporada -40%;Motorola Moto G82 128GB Negro 5G + Max ilimitado C +  40% Cyber wow;1196,4;5;CELULAR: Pantalla FHD+ 6.55'', cámara principal 50MP frontal 16MP, RAM 6GB, memoria interna 128GB. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce PLAN: 142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -40%
252;1;Auriculares Samsung Blancos 30s;20;100;Auriculares blancos de entrada de 3.5mm;5;Max A;55,9;75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);52;Samsung Galaxy Z Fold 4 Verde 256GB 5G;Samsung Galaxy Z Fold 4 Verde 256GB 5G +  Auriculares Samsung Blancos 30s;7859;23;CELULAR: Cámara principal 50MP, procesador Qualcomm Snapdragon 8+, Gen1 8GB de RAM, memoria interna 256GB. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce;12;/resources/images/52.png;10;25% Cyber wow;0,25;Oferta de temporada -25%;Samsung Galaxy Z Fold 4 Verde 256GB 5G +  Auriculares Samsung Blancos 30s + Max A +  25% Cyber wow;5976,7;23;CELULAR: Cámara principal 50MP, procesador Qualcomm Snapdragon 8+, Gen1 8GB de RAM, memoria interna 256GB. ACCESORIO: SkullCandy, Audifonos DIME TW Bronce PLAN: 75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -25%
253;2;EarPods con conector Lightning;89;80;EarPods con conector Lightning;6;Max B;49,5;45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);53;Samsung Galaxy Z Flip 4 256GB Azul 5G;Samsung Galaxy Z Flip 4 256GB Azul 5G +  EarPods con conector Lightning;4639;11;CELULAR: Procesador 4nm, 8GB RAM, memoria interna 256GB, batería 3,700mAh. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo;12;/resources/images/53.png;null;null;null;null;Samsung Galaxy Z Flip 4 256GB Azul 5G +  EarPods con conector Lightning + Max B;4734,9;11;CELULAR: Procesador 4nm, 8GB RAM, memoria interna 256GB, batería 3,700mAh. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo PLAN: 45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica)
254;3;Audífono BT Drums;79;94;BlackSheep, Audífono BT Drums;7;Max C;39,9;37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);54;Vivo X80 Pro 256GB CB;Vivo X80 Pro 256GB CB +  Audífono BT Drums;5849;4;CELULAR: Pantalla 6.78'', cámara principal 50MP, procesador Snapdragon8 Gen1, memoria RAM 12GB, una memoria interna 256GB. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo;12;/resources/images/54.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;Vivo X80 Pro 256GB CB +  Audífono BT Drums + Max C +  50% Cyber wow;2972;4;CELULAR: Pantalla 6.78'', cámara principal 50MP, procesador Snapdragon8 Gen1, memoria RAM 12GB, una memoria interna 256GB. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo PLAN: 37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta de temporada -50%
255;4;Jib True Wireless + Sidebag;109;44;SkullCandy Jib True Wireless + Sidebag;8;Max D;29,9;12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);55;Vivo V21 5G 128GB Azul;Vivo V21 5G 128GB Azul +  Jib True Wireless + Sidebag;1889;16;CELULAR: Pantalla 6.44'', cámara frontal es de 44MP, memoria RAM 8GB, memoria interna 128GB, cámara frontal de 44MP, batería 4000mAh. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo;12;/resources/images/55.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;Vivo V21 5G 128GB Azul +  Jib True Wireless + Sidebag + Max D +  3% Descuento Promo;1909,8;16;CELULAR: Pantalla 6.44'', cámara frontal es de 44MP, memoria RAM 8GB, memoria interna 128GB, cámara frontal de 44MP, batería 4000mAh. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo PLAN: 12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta por producto -3%
256;5;Audifonos INKD+ BT Verde;69;122;SkullCandy, bateria hasta 9 horas, bluetooth 5.1;9;Max ilimitado D;289,9;285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa);56;Xiaomi Note 11s 5G 128GB Azul Oscuro;Xiaomi Note 11s 5G 128GB Azul Oscuro +  Audifonos INKD+ BT Verde;1489;30;CELULAR: Batería 5000mAh, carga rápida 33W, cámara trasera 50mpx, pantalla FULL HD+ DotDisplay 6.6'', memoria interna 128GB, memoría RAM 4GB. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo;12;/resources/images/56.png;3;4% Descuento Promo;0,04;Oferta por producto -4%;Xiaomi Note 11s 5G 128GB Azul Oscuro +  Audifonos INKD+ BT Verde + Max ilimitado D +  4% Descuento Promo;1496,5;30;CELULAR: Batería 5000mAh, carga rápida 33W, cámara trasera 50mpx, pantalla FULL HD+ DotDisplay 6.6'', memoria interna 128GB, memoría RAM 4GB. ACCESORIO: SkullCandy, Audifonos DIME TW Rojo PLAN: 285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa) OFERTA:  Oferta por producto -4%
257;6;MOVEAUDIO S150;99;150;TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh;10;Max ilimitado E;189,9;270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);57;Samsung Galaxy A53 128GB 5G;Samsung Galaxy A53 128GB 5G +  MOVEAUDIO S150;2117;16;CELULAR: Pantalla Infinity-O Super AMOLED 6.5'' FullHD+, procesador Octa-core 2.4GHz, memoria RAM 6GB, almacenamiento interno 128GB, batería 5000mAh, carga rápida 25W. ACCESORIO: Xiaomi, Audífonos Buds 3 lite;12;/resources/images/57.png;4;5% Descuento Promo;0,05;Oferta por producto -5%;Samsung Galaxy A53 128GB 5G +  MOVEAUDIO S150 + Max ilimitado E +  5% Descuento Promo;2064,3;16;CELULAR: Pantalla Infinity-O Super AMOLED 6.5'' FullHD+, procesador Octa-core 2.4GHz, memoria RAM 6GB, almacenamiento interno 128GB, batería 5000mAh, carga rápida 25W. ACCESORIO: Xiaomi, Audífonos Buds 3 lite PLAN: 270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -5%
258;7;Audífonos Bluetooth Hesh 3 Wireless Rojo;269;68;SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas;11;Max ilimitado F;159,9;240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);58;Samsung Galaxy A23 128GB Negro;Samsung Galaxy A23 128GB Negro +  Audífonos Bluetooth Hesh 3 Wireless Rojo;1267;31;CELULAR: Procesador Qualcomm Snapdragon 680 (SM6225) Octa-core, batería de 5000 mAh, pantalla LCD de 6.67'' Full HD+. ACCESORIO: Xiaomi, Audífonos Buds 3 lite;24;/resources/images/58.png;5;15% Descuento Promo;0,15;Oferta por producto -15%;Samsung Galaxy A23 128GB Negro +  Audífonos Bluetooth Hesh 3 Wireless Rojo + Max ilimitado F +  15% Descuento Promo;1119;31;CELULAR: Procesador Qualcomm Snapdragon 680 (SM6225) Octa-core, batería de 5000 mAh, pantalla LCD de 6.67'' Full HD+. ACCESORIO: Xiaomi, Audífonos Buds 3 lite PLAN: 240GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -15%
259;null;null;null;null;null;12;Max play B;115;150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS;59;Xiaomi Note 11s 5G 128GB Negro Ocaso;Xiaomi Note 11s 5G 128GB Negro Ocaso;1497;33;CELULAR: Batería 5000mAh, carga rápida de 33W, cámara principal trasera 50mpx, pantalla FULL HD+ DotDisplay 6.6'', memoria interna 128GB, memoría RAM 4GB. ACCESORIO: Xiaomi, Audífonos Buds 3 lite;12;/resources/images/59.png;6;45% Cyber wow;0,45;Oferta de temporada -45%;Xiaomi Note 11s 5G 128GB Negro Ocaso + Max play B +  45% Cyber wow;845,3;33;CELULAR: Batería 5000mAh, carga rápida de 33W, cámara principal trasera 50mpx, pantalla FULL HD+ DotDisplay 6.6'', memoria interna 128GB, memoría RAM 4GB. ACCESORIO: Xiaomi, Audífonos Buds 3 lite PLAN: 150GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Premium GRATIS OFERTA:  Oferta de temporada -45%
260;8;Apple Airpods 3er Generación Blanco;879;130;Apple, 6 horas en uso continuo;13;Max ilimitado G;109,9;210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);60;Apple iPhone SE Tercera Generación 256GB Midnight;Apple iPhone SE Tercera Generación 256GB Midnight +  Apple Airpods 3er Generación Blanco;3475;36;CELULAR: Baterias 12horas continuas, pantalla retina HD 4,7'', memoria RAM de 3 GB, 256GB almacenamiento interno, cámara gran angular 12MP. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4;12;/resources/images/60.png;7;20% Descuento Promo;0,2;Oferta por producto -20%;Apple iPhone SE Tercera Generación 256GB Midnight +  Apple Airpods 3er Generación Blanco + Max ilimitado G +  20% Descuento Promo;2803,9;36;CELULAR: Baterias 12horas continuas, pantalla retina HD 4,7'', memoria RAM de 3 GB, 256GB almacenamiento interno, cámara gran angular 12MP. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4 PLAN: 210GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta por producto -20%
261;9;FreeBuds 4i Negro;259;29;Huawei, Bluetooth 5.2, emparejamiento Pop-Up, 6.5 horas de uso;1;Max ilimitado A;95,9;195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);61;Samsung Galaxy A04 64GB Negro;Samsung Galaxy A04 64GB Negro +  FreeBuds 4i Negro;725;7;CELULAR: Memoria64GB, pantalla HD+ 6.5'', batería de 5000mAh, cámara principal de 50 MP. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4;12;/resources/images/61.png;8;30% Cyber wow;0,3;Oferta de temporada -30%;Samsung Galaxy A04 64GB Negro +  FreeBuds 4i Negro + Max ilimitado A +  30% Cyber wow;710,4;7;CELULAR: Memoria64GB, pantalla HD+ 6.5'', batería de 5000mAh, cámara principal de 50 MP. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4 PLAN: 195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta de temporada -30%
262;10;Audífonos Flex;39;4;BlackSheep, bluetooth 5.1, duración 9 horas;2;Max play A;95;82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS;62;Honor X8 128GB Plata;Honor X8 128GB Plata +  Audífonos Flex;1075;25;CELULAR: Memoria128GB, pantalla Full HD 6.7'', batería de 4000mAh, cámara cuádruple, RAM de 6GB. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4;12;/resources/images/62.png;9;40% Cyber wow;0,4;Oferta de temporada -40%;Honor X8 128GB Plata +  Audífonos Flex + Max play A +  40% Cyber wow;758,9;25;CELULAR: Memoria128GB, pantalla Full HD 6.7'', batería de 4000mAh, cámara cuádruple, RAM de 6GB. ACCESORIO: SkullCandy, Bluetooth 4.2, tecnología IPX4 PLAN: 82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS OFERTA:  Oferta de temporada -40%
263;11;Marley Audífonos Jammin Mic Amarillo;59;112;Marley Audífonos Jammin Mic Amarillo;3;Max ilimitado B;79,9;157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);63;Xiaomi Redmi Note 11 128GB Azul Oscuro SE;Xiaomi Redmi Note 11 128GB Azul Oscuro SE +  Marley Audífonos Jammin Mic Amarillo;1331;2;CELULAR: Memoria128GB, pantalla AMOLED FHD+ 6.43'', cámara cuádruple frontal 13MP principal 50MP, procesador Snapdragon 680, memoria RAM 4GB, almacenamiento interno 128GB, batería de 5000mAh. ACCESORIO: Samsung Galaxy Buds Plus;18;/resources/images/63.png;10;25% Cyber wow;0,25;Oferta de temporada -25%;Xiaomi Redmi Note 11 128GB Azul Oscuro SE +  Marley Audífonos Jammin Mic Amarillo + Max ilimitado B +  25% Cyber wow;1118,2;2;CELULAR: Memoria128GB, pantalla AMOLED FHD+ 6.43'', cámara cuádruple frontal 13MP principal 50MP, procesador Snapdragon 680, memoria RAM 4GB, almacenamiento interno 128GB, batería de 5000mAh. ACCESORIO: Samsung Galaxy Buds Plus PLAN: 157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -25%
264;12;Marley Audífonos Jammin Mic Rojo;59;16;Marley Audífonos Jammin Mic Rojo;4;Max ilimitado C;69,9;142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);64;Huawei P50 Pro 256GB;Huawei P50 Pro 256GB +  Marley Audífonos Jammin Mic Rojo;4371;28;CELULAR: Procesador Qualcomm Snapdragon 888G 4G, batería de 4300mAh, memoria interna de 256GB, carga rápida a 66W, cámara cuádruple. ACCESORIO: Samsung Galaxy Buds Plus;18;/resources/images/64.png;null;null;null;null;Huawei P50 Pro 256GB +  Marley Audífonos Jammin Mic Rojo + Max ilimitado C;4486;28;CELULAR: Procesador Qualcomm Snapdragon 888G 4G, batería de 4300mAh, memoria interna de 256GB, carga rápida a 66W, cámara cuádruple. ACCESORIO: Samsung Galaxy Buds Plus PLAN: 142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica)
265;13;Audífono Blacksheep Drums TWS Negro;79;72;BlackSheep, bluetooth 5.1, duración 9 horas;5;Max A;55,9;75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);65;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS +  Audífono Blacksheep Drums TWS Negro;521;6;CELULAR: Pantalla IPS LCD de 5.99 pulgadas, cámara trasera 5 megapíxeles frontal 2 megapíxeles, memoria RAM 1GB, almacenamiento 32GB, procesador octa-core, batería es de 3000 mAh. ACCESORIO: Samsung Galaxy Buds Plus;12;/resources/images/65.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS +  Audífono Blacksheep Drums TWS Negro + Max A +  50% Cyber wow;315,5;6;CELULAR: Pantalla IPS LCD de 5.99 pulgadas, cámara trasera 5 megapíxeles frontal 2 megapíxeles, memoria RAM 1GB, almacenamiento 32GB, procesador octa-core, batería es de 3000 mAh. ACCESORIO: Samsung Galaxy Buds Plus PLAN: 75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -50%
266;14;Audífono Tabs Blanco;79;50;BlackSheep, bluetooth 5.1, duración 9 horas;6;Max B;49,5;45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);66;ZTE Blade A5 2020 32GB Negro;ZTE Blade A5 2020 32GB Negro +  Audífono Tabs Blanco;593;37;CELULAR: Procesador 8 núcleos, velocidad procesamiento 1.6GHz, 2GB memoria RAM, 32GB almacenamiento interno, batería 3200mAh. ACCESORIO: Samsung, Galaxy Buds Live Negro;12;/resources/images/66.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;ZTE Blade A5 2020 32GB Negro +  Audífono Tabs Blanco + Max B +  3% Descuento Promo;668,2;37;CELULAR: Procesador 8 núcleos, velocidad procesamiento 1.6GHz, 2GB memoria RAM, 32GB almacenamiento interno, batería 3200mAh. ACCESORIO: Samsung, Galaxy Buds Live Negro PLAN: 45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -3%
